frequency_hz,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2,A1-T3,T3-C3,T4-A2,FP1-F3,F3-C3,P3-O1,FP2-F4,F4-C4,P4-O2,C3-CZ,CZ-C4,C4-T4,C3-P3,C4-P4
35.06842619745846,194.2154894931955,381.13985813412273,711.7835438704345,342.4220690450607,194.01898918384325,474.7025290903924,473.08126611100806,339.329057126611,491.0995783235111,698.2874149909969,572.7691166424006,263.85947435177576,312.6654783299476,251.21062130629,260.6796908623615,375.9969624110561,339.2897145236885,597.1308796085222,568.4047424692764,658.2510079709454,421.04631284431383,511.81624442921964
35.19061583577712,193.35848543248673,385.8218204937376,709.8508797737938,323.8938515625159,197.30105546835043,472.1855942933537,480.80428712350624,347.95344748219077,484.6585891883286,723.4169535295474,586.4893626439156,266.5626890459715,306.09170230392164,264.43510976587896,267.8609451574788,378.333065779991,350.46778539515327,625.8759348140312,595.3477552825971,663.5500380013033,420.42320980478894,512.1612116454799
35.312805474095796,195.4756639447893,399.6018046892961,716.9596172045732,288.1188627136142,195.07357982264585,450.9040327559218,468.37508873105816,349.998142459628,470.2156617152429,749.5259518298519,569.4055578697486,284.0574374856752,322.0097213083919,260.38311795817305,266.30566567350587,373.76291177774806,331.47742864264904,663.4579670925831,578.9378700439786,636.3713766623837,456.2454803955527,482.9822121235774
35.43499511241447,188.21611037011508,399.06325497019725,694.7987899324388,298.96137664603873,190.9032138628477,433.51551955926953,473.4893899113673,352.29422992198903,481.41553617937393,724.5726096540968,552.1294929027241,280.2403270455822,318.43230420893906,253.314483148164,263.9214503388795,367.00263855207885,300.3926645935575,625.7462895866156,536.7526684926886,596.4481047434477,461.68053314136927,450.6284711026475
35.557184750733136,190.2994476981506,390.85214002715844,716.9164302922397,318.12739090589486,193.52839677792906,452.32723999367704,512.8922000904596,372.8683605939425,513.3596644189694,736.0663184001054,556.1481036422206,278.5012927576362,331.2602292717952,262.70245336055183,269.2435702971501,366.91519156888364,327.7076686116606,609.8170030506228,550.6597681055807,619.7205424688023,458.72811375377734,462.76095519270507
35.67937438905181,192.6497941234776,393.55207422589217,695.5585112780204,322.71540718415787,194.26246429283896,463.5509154305523,525.663779544336,370.4998201140267,536.0309946847102,734.7573513121207,559.532860297478,268.98364941019827,337.8407759636995,256.96903718824683,250.83361704159745,354.6968865297688,350.2949312468903,643.5035021151464,550.8007381325983,643.5463260663904,444.0806692679014,470.19079294529934
35.80156402737048,189.5281256552307,387.52555946406966,696.9532063810484,319.32432628867156,188.79973002731276,488.4345164940024,509.12655955986287,365.3636306028187,521.5693702091754,725.2712030650603,576.6257177510817,269.96240138228575,335.33840256528566,242.758148492962,255.05721051358077,382.15736386191463,369.3551836948125,603.7395049428688,536.4556978752787,644.6286809796891,427.70096434826183,481.1023240032105
35.92375366568915,193.43336272572338,388.7226331939657,670.1988438435318,319.4277730303078,188.80879934142783,509.4066879510922,480.5799054824352,378.6674117737103,537.2424345730536,707.5266729977152,579.2182569943565,267.5776167484573,338.31565616587153,251.00226138180275,262.2618178574675,373.95471042085427,369.9874372900375,602.4453812918027,554.7539581296768,641.5686489686888,443.393959853342,483.29729541362735
36.04594330400782,194.18024487266882,389.33014146223724,688.1863720653648,343.2564116609495,196.46730187940227,507.20778148558946,486.4323013236117,371.10210389664223,539.123692361558,725.5301786061979,555.9708143191924,270.6001093708762,328.1085792803739,256.898448597366,268.90168649199796,386.56389295818093,359.82927522424836,592.1591462290926,564.131067856217,621.135831232692,453.98876991537935,468.8609782096786
36.168132942326494,197.93241644246444,379.9225776934508,638.0502758708017,333.43261273902255,185.9525131910514,473.47667345715905,474.130313230534,349.99486321960603,510.3354963990863,671.9636138350371,550.2739114590938,261.7279155839087,327.6029969244894,270.8229649580089,256.7757405349118,367.19247468330366,353.6006203437748,601.7668867073659,511.9098378715627,628.0216138948394,461.931855618212,439.7268953907504
